SGB ID	AverageAbundance	std	q1	MedianAbundance	q3	min	max	# Samples
9345	0.780282985	0.646029932	0.353904475	0.461550346	1.048692894	0.143005282	2.314969901	12
9346	1.257738338	1.774391707	0.369236516	0.64029057	1.438384295	0	17.22771573	289
9347	1.075327459	1.655925606	0.288470045	0.582522527	1.230606647	0.07410702	13.68068462	204
9348	0.214554262		0.214554262	0.214554262	0.214554262	0.214554262	0.214554262	1
9349	0.873841839		0.873841839	0.873841839	0.873841839	0.873841839	0.873841839	1
9350	0.908014173		0.908014173	0.908014173	0.908014173	0.908014173	0.908014173	1
9359	0.594465572	0.030322876	0.58050736	0.598809867	0.610595932	0.562204853	0.622381997	3
9360	1.369991453	1.33059747	0.603298549	0.687177022	1.795277142	0.519420076	2.903377263	3
9361	0.929500374		0.929500374	0.929500374	0.929500374	0.929500374	0.929500374	1
9382	3.15961783	2.981481488	1.105405344	2.279523538	3.028767943	0.536472226	8.399502772	9
9383	10.16657796	9.555370387	2.067580689	7.762015448	17.20672658	0.172605948	24.68280979	7
9384	3.519215463	7.297848825	0.34427895	0.857930474	1.494718434	0.084503266	20.01407973	7
9385	0.217739772	0.015924867	0.20868181	0.211413356	0.223634526	0.205950264	0.235855696	3
9386	0.116118545	0.026058723	0.106905395	0.116118545	0.125331695	0.097692245	0.134544845	2
9387	0.138513842	0.106019815	0.082613815	0.110598666	0.159241907	0.026993686	0.341269064	8
9388	0.114472314		0.114472314	0.114472314	0.114472314	0.114472314	0.114472314	1
9389	0.114715686	0.021832802	0.106996625	0.114715686	0.122434747	0.099277564	0.130153809	2
9390	0.031615755		0.031615755	0.031615755	0.031615755	0.031615755	0.031615755	1
9391	0.171911794	0.147849679	0.115582638	0.13332541	0.15104535	0.036588098	0.46161147	6
9415	0.409489036		0.409489036	0.409489036	0.409489036	0.409489036	0.409489036	1
9417	1.309370097	0.688125115	1.027926343	1.513605676	1.692931641	0.54224701	1.872257605	3
9418	1.043186161	0.469405242	0.728219924	0.963694699	1.325196092	0.261446218	2.330971807	42
9419	0.88757314		0.88757314	0.88757314	0.88757314	0.88757314	0.88757314	1
9420	0.676648725		0.676648725	0.676648725	0.676648725	0.676648725	0.676648725	1
9421	0.376290993		0.376290993	0.376290993	0.376290993	0.376290993	0.376290993	1
9422	1.052832693	0.956863114	0.582189155	0.742574125	1.226671083	0.273322598	6.1874287	54
9423	0.771533655		0.771533655	0.771533655	0.771533655	0.771533655	0.771533655	1
9424	0.52052906		0.52052906	0.52052906	0.52052906	0.52052906	0.52052906	1
9425	0.982027574	0.515233324	0.528136927	0.942948732	1.273460842	0.48155701	1.846491735	7
9426	0.912590531	0.547166442	0.597353942	0.632974061	1.088018885	0.561733822	1.54306371	3
9428	0.738343083		0.738343083	0.738343083	0.738343083	0.738343083	0.738343083	1
9430	0.878010829	0.072618898	0.852336171	0.878010829	0.903685486	0.826661513	0.929360144	2
9431	0.267542716	0.14454284	0.216439105	0.267542716	0.318646328	0.165335494	0.369749939	2
9432	0.290132043		0.290132043	0.290132043	0.290132043	0.290132043	0.290132043	1
9433	0.819941979	0.507983386	0.547887996	0.73764313	1.050846538	0.358132862	1.364049946	3
9434	0.70049894	0.796178924	0.41610487	0.480776214	0.507284255	0.203175022	2.651552734	8
9435	0.221182444		0.221182444	0.221182444	0.221182444	0.221182444	0.221182444	1
9437	0.798584137	0.580892717	0.323389219	0.785582035	0.974967531	0.290735574	1.917057849	7
9438	0.69525676		0.69525676	0.69525676	0.69525676	0.69525676	0.69525676	1
9447	1.851585195	1.833082203	0.747098895	1.307522157	2.253763286	0.307305153	8.485444244	40
9449	5.190976665	6.816233781	1.417842839	3.443663794	5.834464757	0.203751007	31.00011868	33
9450	6.193331917	6.605253634	1.767940214	3.711592009	7.982489924	0.262598903	39.28296321	152
9451	4.269928267	1.698513269	3.669413141	4.269928267	4.870443392	3.068898016	5.470958517	2
9452	1.802043658		1.802043658	1.802043658	1.802043658	1.802043658	1.802043658	1
9453	1.722064701	0.154657704	1.667384946	1.722064701	1.776744457	1.61270519	1.831424212	2
9455	0.688391169		0.688391169	0.688391169	0.688391169	0.688391169	0.688391169	1
9456	0.829762042		0.829762042	0.829762042	0.829762042	0.829762042	0.829762042	1
9457	2.192569481		2.192569481	2.192569481	2.192569481	2.192569481	2.192569481	1
9458	3.416421265		3.416421265	3.416421265	3.416421265	3.416421265	3.416421265	1
9459	4.581987637		4.581987637	4.581987637	4.581987637	4.581987637	4.581987637	1
9460	2.790233227	1.908142253	1.429529836	2.741099975	3.241415971	0.777843066	6.080828585	6
9461	19.16518394	7.526433685	16.73865037	20.27441872	22.70095229	9.023760071	27.08813827	4
9463	10.02247416	13.21094885	1.609702022	3.828515375	8.560000988	0.71234608	34.93593644	9
9464	2.596514902	1.557927678	1.348411858	1.928836393	3.866345666	0.675352584	4.962235156	11
9465	5.277998398	4.637013467	2.226520663	4.028823098	6.932091393	0.443536786	23.97941642	41
9466	5.681390769	3.41493066	3.604540633	4.72667443	6.590723298	2.168464876	12.48406821	7
9467	3.623968826	4.9355739	1.134971958	2.130852513	4.302265712	0.337669654	29.67515269	46
9473	0.386601799	0.214099967	0.291790846	0.429164224	0.502693965	0.154417468	0.576223707	3
9478	0.161987968		0.161987968	0.161987968	0.161987968	0.161987968	0.161987968	1
9505	2.806773853		2.806773853	2.806773853	2.806773853	2.806773853	2.806773853	1
9631	0.483494134	0.302684915	0.272484217	0.388891846	0.636701125	0.154249437	1.062102686	8
9632	1.031146566	1.388680424	0.297520846	0.339040098	1.041208523	0.200128226	3.749725215	6
9634	2.147608273	1.986241314	0.392756652	2.06655456	3.416985057	0.209491363	5.249326408	9
9635	0.37281085		0.37281085	0.37281085	0.37281085	0.37281085	0.37281085	1
9636	0.35104162		0.35104162	0.35104162	0.35104162	0.35104162	0.35104162	1
9648	20.19465058	13.70035381	13.36992995	22.56060164	29.42502555	0.458915447	35.1587803	5
9649	3.646480762	3.278515512	0.661644345	2.562497405	5.333487486	0.369020026	13.21319215	34
9652	4.399015702	4.596772859	1.481819611	2.808198529	5.698086613	0.363664932	12.71295628	6
